                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0963,                 4.8544,                 1.5622,                0.12678,                   0.25,                 0.1224,                0.07306,                 1.0458,                 3.2237,                 1.6891,                 0.0937,                 0.0007,                 0.0007
                      1,                  1.064,                 2.8249,                 1.5935,                0.81149,                    0.5,                0.75223,                0.49624,                0.99975,                 2.1277,                 1.6037,               0.086493,              0.0014926,              0.0014926
                      2,                0.89653,                  1.324,                 1.3229,                0.76474,                0.91667,                0.89054,                0.61568,                0.96923,                 1.2591,                 1.4333,               0.079277,              0.0022772,              0.0022772
                      3,                0.85027,                0.94469,                 1.3259,                0.84842,                0.93384,                 0.9694,                  0.652,                 1.2325,                 0.7783,                 1.6388,               0.072054,               0.003054,               0.003054
                      4,                0.77183,                0.68704,                 1.2301,                0.99373,                      1,                  0.995,                0.67619,                  1.133,                0.57638,                 1.4815,               0.064823,              0.0038228,              0.0038228
                      5,                0.76296,                0.71139,                 1.2433,                 0.9965,                0.91667,                0.98885,                0.64656,                 1.1012,                0.61204,                 1.4933,               0.057584,              0.0045837,              0.0045837
                      6,                0.68885,                0.55498,                 1.1679,                0.99065,                0.91667,                0.93786,                0.60981,                 1.1825,                0.64565,                 1.5219,               0.050337,              0.0053367,              0.0053367
                      7,                0.74375,                0.73148,                 1.1869,                0.99599,                      1,                  0.995,                 0.7062,                 1.0528,                0.93443,                  1.418,               0.043082,              0.0060817,              0.0060817
                      8,                0.72341,                0.65279,                 1.1677,                0.99599,                      1,                  0.995,                0.79576,                0.81835,                0.76708,                 1.2307,               0.035819,              0.0068188,              0.0068188
                      9,                0.67375,                0.53106,                 1.1699,                0.99483,                      1,                  0.995,                0.86583,                0.64607,                0.35451,                 1.1272,               0.028548,              0.0075481,              0.0075481
                     10,                0.71604,                0.58159,                 1.1969,                0.99523,                      1,                  0.995,                0.78328,                0.84814,                0.43546,                 1.2618,               0.021269,              0.0082693,              0.0082693
                     11,                0.62384,                0.63481,                 1.1263,                0.98345,                0.83333,                0.90076,                0.71797,                0.93805,                0.64282,                 1.4313,               0.013983,              0.0089827,              0.0089827
                     12,                0.62717,                0.52859,                 1.1191,                0.58058,                   0.75,                0.61419,                0.37733,                 1.4647,                   1.35,                 2.0569,               0.009406,               0.009406,               0.009406
                     13,                0.69694,                0.60983,                 1.1428,                0.86852,                   0.75,                0.73929,                 0.3557,                 1.8287,                 1.3277,                 2.4716,               0.009406,               0.009406,               0.009406
                     14,                 0.6719,                0.53664,                 1.1433,                0.99426,                      1,                  0.995,                0.73056,                 1.0508,                0.56646,                 1.3539,              0.0093565,              0.0093565,              0.0093565
                     15,                0.63462,                0.48944,                 1.1507,                 0.9223,                0.98986,                0.98885,                0.78668,                0.86045,                0.59745,                 1.3298,               0.009307,               0.009307,               0.009307
                     16,                 0.6394,                0.51591,                 1.1029,                0.99706,                      1,                  0.995,                0.76192,                0.91282,                0.46321,                 1.3077,              0.0092575,              0.0092575,              0.0092575
                     17,                0.69142,                0.46753,                 1.1179,                      1,                0.99292,                  0.995,                0.81509,                0.84538,                0.51728,                 1.2596,               0.009208,               0.009208,               0.009208
                     18,                0.65011,                0.49279,                 1.1413,                      1,                0.97935,                  0.995,                0.79066,                0.77712,                 0.4692,                 1.2588,              0.0091585,              0.0091585,              0.0091585
                     19,                0.61247,                0.45876,                 1.1085,                0.99455,                      1,                  0.995,                 0.7935,                0.81113,                0.43098,                 1.2888,               0.009109,               0.009109,               0.009109
                     20,                0.57208,                0.44544,                 1.0576,                0.92273,                0.99551,                0.98885,                0.79992,                 0.8493,                0.53347,                 1.2536,              0.0090595,              0.0090595,              0.0090595
                     21,                 0.6109,                0.47698,                 1.0775,                0.92214,                 0.9878,                0.98885,                0.76076,                0.95662,                0.60648,                 1.3373,                0.00901,                0.00901,                0.00901
                     22,                0.63009,                0.46684,                  1.105,                0.83447,                0.91667,                0.94784,                0.63133,                 1.4591,                 1.0292,                  1.722,              0.0089605,              0.0089605,              0.0089605
                     23,                0.62428,                0.47322,                 1.0805,                0.92671,                0.91667,                0.98357,                0.74832,                0.93224,                0.75536,                 1.2843,               0.008911,               0.008911,               0.008911
