                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9055,                 4.8204,                 1.3026,                0.98589,                0.90909,                0.98115,                0.83615,                0.56703,                 4.3719,                0.97709,                0.00012,                0.00012,                0.00012
                      2,                0.71974,                 2.0192,                 1.1112,                0.94943,                      1,                  0.995,                0.87859,                0.59141,                 4.5057,                0.99127,             0.00025743,             0.00025743,             0.00025743
                      3,                 0.6738,                 1.1522,                  1.072,                0.90376,                0.90909,                0.96753,                0.85314,                0.57118,                 2.8453,                 1.0292,             0.00039208,             0.00039208,             0.00039208
                      4,                0.62744,                 0.8299,                 1.0615,                0.90922,                      1,                 0.9575,                0.79362,                0.58388,                 1.5985,                 1.0324,             0.00052396,             0.00052396,             0.00052396
                      5,                0.61762,                0.71395,                 1.0055,                      1,                      1,                  0.995,                0.74053,                 0.8002,                 3.7613,                 1.3443,             0.00065307,             0.00065307,             0.00065307
                      6,                0.65708,                0.64669,                 1.0572,                0.69231,                0.81818,                0.72072,                0.33741,                 1.4003,                 8.5373,                 2.2293,             0.00077941,             0.00077941,             0.00077941
                      7,                0.65864,                0.70004,                 1.0409,                0.83213,                0.90187,                0.91475,                0.65265,                0.84404,                 2.6006,                 1.1549,             0.00090298,             0.00090298,             0.00090298
                      8,                0.67737,                0.63517,                 1.0924,                0.76153,                0.87268,                0.83255,                0.67711,                0.68601,                 2.6274,                  1.144,              0.0010238,              0.0010238,              0.0010238
                      9,                0.70847,                 0.6096,                 1.0744,                0.46553,                0.63636,                0.47973,                0.32096,                0.91324,                 2.8639,                 1.3594,              0.0011418,              0.0011418,              0.0011418
                     10,                0.70417,                0.60504,                 1.0828,                0.89799,                0.80175,                0.78673,                0.62619,                0.93261,                 1.5415,                 1.5224,               0.001257,               0.001257,               0.001257
                     11,                0.69673,                0.62568,                 1.0587,                      1,                      1,                  0.995,                0.84733,                 0.6743,                 4.0454,                 1.2959,              0.0013695,              0.0013695,              0.0013695
                     12,                0.75924,                0.64015,                 1.1025,                0.73882,                0.90909,                0.86984,                0.71658,                 0.8169,                 2.6369,                 1.1966,              0.0014792,              0.0014792,              0.0014792
                     13,                0.74521,                0.60231,                 1.0738,                0.81047,                0.90909,                   0.84,                0.51579,                 1.0682,                 3.4515,                 1.4663,              0.0015862,              0.0015862,              0.0015862
                     14,                0.70478,                0.56207,                 1.0795,                 0.9127,                0.90909,                 0.9875,                0.73922,                0.80926,                 1.8274,                 1.2483,              0.0016903,              0.0016903,              0.0016903
                     15,                0.80337,                0.67042,                 1.1536,                0.61865,                0.63636,                 0.6973,                0.50236,                 1.0815,                 1.7888,                  1.485,              0.0017228,              0.0017228,              0.0017228
